Id,Name code designator,Latitude,Longitude,ATS route or other route,Terminal Area
163,REPOV,0.273,104.05,G579,"HLDG ID, STAR-WSSS"
164,ROBMO,2.911,103.95,L642,
165,RUVIK,1.239,104.343,,"SID-WSSS, STAR-WSSS"
166,SABIP,2.161,107.846,"M646, M761",
167,SABKA,1.848,103.287,A457,SID-WSSS
168,SAMKO,1.092,103.882,"R469, W407","HLDG ID, STAR-WSSS,"
169,SANAT,1.13,103.992,,"STAR-WSSS,"
170,SUKRI,1.385,102.984,M630,
171,SUMLA,8.045,116.015,M754,
172,SURGA,0.616,-106.522,M635,
173,SUSAR,3.98,105.263,"L635, N875",
174,TAROS,0.7,102.269,R469,
175,TAXUL,3.843,103.677,"M763, Y332",
176,TEGID,8.949,115.862,M767,
177,TERIX,4.256,109.582,"L517, M758, M767",
178,TIDAR,6.875,102.833,M904,
179,TODAM,6.527,112.593,"M767, M768",
180,TOKIM,1.493,104.054,,SID-WSSS
181,TOMAN,1.363,105.788,"G580, L625, M646, M767","SID-WSSS, STAR-WSSS"
182,TOPOM,1.499,104.041,,SID-WSSS
183,TOPOR,1.737,102.892,W534,
184,UDONI,0.805,104.135,B470,
185,UGPEK,3.613,104.131,"L635, N891",
186,UPRON,6.151,103.344,"M904, Q803",
187,URIGO,3.418,104.113,"M758, N891",
188,VABRI,1.521,104.066,,IAC-WSSS
189,VENIX,0.366,-106.089,,SID-WSSS
190,VENLI,6.48,102.817,M765,
191,VENPA,0.361,104.832,,SID-WSSS
192,VEPLI,3.873,104.095,"L629, L642",
193,VERIN,2.559,106.407,L625,
194,VILEV,1.458,104.04,,IAC-WSSS
195,VINIK,8.642,116.23,"M522, M754",
196,VIRID,3.291,103.222,Y514,
197,VISAT,3.439,104.526,"M758, M771",
