id,Route Designator,Significant point name ,Latitude,Longitude
41,G219,NIVAM,2.614,104.041
42,G219,30VTK (30 DME VTK),1.915,104.033
43,G219,TEKONG DVOR/DME (VTK),1.415,104.022
44,G334,"	PULAU TIOMAN VOR/DME (VPT)",2.916,104.111
45,G334,KIBOL (WMFC/WSJC FIR BDRY),2.875,104.468
46,G334,BUNTO,2.669,105.998
47,G334,KAMIN (WSJC/WBFC FIR BDRY),2.578,108.927
48,G579,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
49,G579,JAYBEE NDB (JB),1.5,103.712
50,G579,LAPOL,1.439,103.743
51,G579,LEGOL,1.348,103.79
52,G579,SINJON DVOR/DME (SJ),1.222,103.856
53,G579,REMES,0.728,103.96
54,G579,REPOV,0.273,104.05
55,G579,FIRJ3 (WSJC/WIIZ FIR BDRY),-0.268,104.155
56,G579,PARDI (ABM NE),-0.567,104.217
57,G580,SINJON DVOR/DME (SJ),1.222,103.856
58,G580,HOSBA (R079/34 DME SJ) (R103/24 DME VTK),1.33,104.405
59,G580,TOMAN,1.363,105.788
60,G580,OBGET,1.385,106.759
61,G580,NIMIX,1.414,107.991
62,G580,ATETI (FIR BDRY),1.428,108.5
63,R208,IGARI,6.937,103.585
64,R208,IKUKO (FIR BDRY),5.753,103.223
65,R325,REDUK,2.332,103.083
66,R325,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
67,R469,TAROS (FIR BDRY),0.7,102.269
68,R469,ASUNA (R252/44 DME SJ),0.997,103.165
69,R469,BOBAG (R243/24 DME SJ),1.042,103.498
70,R469,SAMKO (R168/8 DME SJ),1.092,103.882
71,W401,HOSBA (R079/34 DME SJ (R103/24 DME VTK),1.33,104.405
72,W401,KONG KONG NDB (KK),1.522,103.99
73,W401,ALFA,1.509,103.828
74,W401,JAYBEE NDB (JB),1.5,103.712
75,W401,LELIB,1.458,103.414
76,W401,PIMOK,1.447,103.336
77,W407,TEKONG DVOR/DME (VTK),1.415,104.022
78,W407,SAMKO (8 DME SJ),1.092,103.882
79,W534,TOPOR,1.737,102.892
80,W534,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
81,W651,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
82,W651,KONG KONG NDB (KK),1.522,103.99
83,L504,OBDOS,0.418,106.931
84,L504,"BAVUS
(WSJC/WIIZ FIR BDRY)",0,109
85,L517,TERIX,4.256,109.582
86,L517,"GULIB
(WSJC/WBFC FIR BDRY)",4.287,111.109
87,L625,AKMON,8.215,110.218
88,L625,LUSMO,3.561,106.926
89,L625,VERIN,2.559,106.407
90,L625,TOMAN,1.363,105.788
91,L629,DOLOX,4.811,105.38
92,L629,NOPAT,4.387,104.799
93,L629,VEPLI,3.873,104.095
94,L629,"BUVAL
(WSJC/WMFC FIR BDRY)",3.606,103.728
95,L629,PEKAN DVOR/DME (VPK),3.383,103.423
96,L635,MABLI,4.288,106.213
97,L635,SUSAR,3.98,105.263
98,L635,DUBSA,3.817,104.761
99,L635,UGPEK,3.613,104.131
100,L635,"DOVOL
(WSJC/WMFC FIR BDRY)",3.513,103.823
101,L635,PEKAN DVOR/DME (VPK),3.383,103.423
102,L642,"ESPOB
(VVTS/WSJC FIR BDRY)",7,105.555
103,L642,ENREP,4.873,104.245
104,L642,VEPLI,3.873,104.095
105,L642,"EGOLO
(WSJC/WMFC FIR BDRY)",3.326,104.013
106,L642,ROBMO,2.911,103.95
107,L642,"MERSING DVOR/DME (VMR)	",2.388,103.872
108,L644,"DUDIS
(WSJC/VVTS FIR BDRY)",7,106.81
109,L644,MABLI,4.288,106.213
110,L644,OPULA,3.532,106.355
111,L644,ONAPO,3.354,106.388
112,L644,OMLIV,2.92,106.47
113,L644,OMBAP,2.521,106.545
114,L644,OLSAM,2.016,106.64
115,L644,OBLOT,1.7155,106.6963
116,L644,OBGET,1.385,106.759
