starte end id,"Route Designator
{RNP Type}",Significant point name ,Latitude,Longitude
63,M758,MABAL,3.474,105.21
64,M758,ELGOR,3.504,105.805
65,M758,LUSMO,3.561,106.926
66,M758,TERIX,4.256,109.582
67,M758,"OLKIT
(WSJC/WBFC FIR BDRY)",4.836,111.855
68,M761,PEKAN DVOR/DME (VPK),3.383,103.423
69,M761,"KETOD
(WMFC/WSJC FIR BDRY)",3.178,104.162
70,M761,OTLON,3.131,104.335
71,M761,KILOT,3.038,104.673
72,M761,LIPRO,2.895,105.191
73,M761,BOBOB,2.368,107.099
74,M761,SABIP,2.161,107.846
75,M761,"AGOBA
(WSJC/WBFC FIR BDRY)",1.978,108.5
76,M763,ENREP,4.873,104.245
77,M763,"TAXUL
(WMFC/WSJC FIR BDRY)",3.843,103.677
78,M763,PEKAN DVOR/DME (VPK),3.383,103.423
79,M765,IGARI,6.937,103.585
80,M765,VENLI (WMFC/WSJC FIR BDRY),6.48,102.817
81,M767,TEGID (RPHI/WSJC FIR BDRY),8.949,115.862
82,M767,TODAM,6.527,112.593
83,M767,TERIX,4.256,109.582
84,M767,BOBOB,2.368,107.099
85,M767,TOMAN,1.363,105.788
86,M768,AKMON,8.215,110.218
87,M768,LAGOT,7.276,111.545
88,M768,TODAM,6.527,112.593
89,M768,"ASISU
(WSJC/WBFC FIR BDRY)",5.985,113.346
90,M771,"DUDIS
(WSJC/VVTS FIR BDRY)",7,106.81
91,M771,DOLOX,4.811,105.38
92,M771,DAMOG,4.207,105.004
93,M771,DUBSA,3.817,104.761
94,M771,VISAT,3.439,104.526
95,M771,OTLON,3.131,104.335
96,M771,"RAXIM
(WMFC/WSJC FIR BDRY)",3.055,104.287
97,M771,MERSING DVOR/DME (VMR),2.388,103.872
98,M772,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
99,M772,BIDAG,7.517,113.929
100,M772,"ASISU
(WBFC/WSJC FIR BDRY)",5.985,113.346
101,M774,TANJUNG PINANG VOR/DME (TPG),0.904,104.514
102,M774,OBDOS,0.418,106.931
103,M774,"KADAR
(WSJC/WIIZ FIR BDRY)",-0.113,107.728
104,M904,"TIDAR
(WSJC/VTBB FIR BDRY)",6.875,102.833
105,M904,ODONO,6.604,103.025
106,M904,UPRON,6.151,103.344
107,M904,ENREP,4.873,104.245
108,N502,"BOBAG
(R243/24 DME SJ)",1.042,103.498
109,N502,PARDI,-0.567,104.217
110,N875,ENREP,4.873,104.245
111,N875,NOPAT,4.387,104.799
112,N875,DAMOG,4.207,105.004
113,N875,SUSAR,3.98,105.263
114,N875,MUMSO,3.739,105.537
115,N875,ELGOR,3.504,105.805
116,N875,LEBIN,3.244,106.101
117,N875,BOBOB,2.368,107.099
118,N875,ESPIT,2.003,107.44
119,N875,NIMIX,1.414,107.991
120,N875,ARUPA,0.528,108.813
121,N884,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
122,N884,LAGOT,7.276,111.545
123,N884,LUSMO,3.561,106.926
124,N884,LEBIN,3.244,106.101
125,N884,"	LIPRO",2.895,105.191
126,N884,"LENDA
(WSJC/WMFC FIR BDRY)",2.69,104.659
127,N884,MERSING DVOR/DME (VMR),2.388,103.872
128,N891,IGARI,6.937,103.585
129,N891,IKUMI,5.894,103.919
